,accelerator_host_interconnect,accelerator_interconnect,accelerator_memory_capacity,accelerator_memory_configuration,accelerator_model_name,accelerators_per_node,framework,host_memory_capacity,host_processor_core_count,host_processor_model_name,host_processors_per_node,host_storage_type,operating_system,other_software_stack,latency_ns,samples_ps
20,PCIe Gen5 x16,NVLINK,80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,48,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.90.07",0.00055781038,56011.0
21,PCIe Gen5 x16,NVLINK,141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,52,Intel(R) Xeon(R) Platinum 8470,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42.06",0.00026422865,53449.0
21,PCIe Gen5 x16,NVLINK,141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,52,Intel(R) Xeon(R) Platinum 8470,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42.06",0.00035473172,55746.0
21,PCIe Gen5 x16,NVLINK,141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,52,Intel(R) Xeon(R) Platinum 8470,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42.06",0.00055554548,58091.0
27,PCIe Gen5 x16,"6x 4th Gen NVLINK, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 10.2, CUDA 12.4",1 TB,48,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.4,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.129.03, DALI 1.28.0",0.00029659199,26317.0
27,PCIe Gen5 x16,"6x 4th Gen NVLINK, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 10.2, CUDA 12.4",1 TB,48,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.4,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.129.03, DALI 1.28.0",0.00041707667,27442.0
27,PCIe Gen5 x16,"6x 4th Gen NVLINK, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,4,"TensorRT 10.2, CUDA 12.4",1 TB,48,Intel(R) Xeon(R) Platinum 8468,2,NVMe SSD,Ubuntu 20.04.4,"TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.129.03, DALI 1.28.0",0.00074377442,28605.0
28,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00026796935,53448.0
28,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00039063596,55745.0
28,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00073465563,58090.0
36,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00025576306,53006.0
36,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00036904921,55284.0
36,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00065708946,57609.0
37,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00021252055,38279.0
37,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00036627514,39919.0
37,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00095663598,41599.0
37,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00097012167,41599.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00031953529,52271.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00051068411,54515.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00097357507,56729.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00031953529,52271.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00051068411,54515.0
