,accelerator_memory_capacity,accelerator_model_name,host_memory_capacity,host_processor_core_count,host_processor_model_name,operating_system,sm_count,micro_architecture,core,core_clock,cuda_cores,base_clock,max_boost_clock,bus_type,bus_width,bus_size,bus_clock,bus_bandwidth,half_precision,single_precision,double_precision,cuda_compute_capability,tdp,form_factor,samples_ps
47,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
48,79.43536376953125 GB,NVIDIA A100-SXM4-80GB,90.0,12,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),108,Ampere,1× GA100-883AA-A1,,6912,765.0,1410.0,HBM2,5120.0,80.0,1215.0,1555.0,312.0,19.5,9.7,8.0,250,PCIe card (dual-slot),55
49,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,53
50,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,53
51,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,53
52,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,53
53,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,53
54,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,53
55,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,53
56,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,53
57,22.05987548828125 GB,NVIDIA L4,15.0,2,Intel(R) Xeon(R) CPU @ 2.20GHz,Ubuntu 22.04 (linux-6.8.0-1015-gcp-glibc2.35),60,Ada Lovelace,1x AD104[55],,7424,795.0,2040.0,GDDR6,192.0,24.0,1563.0,300.0,121.0,30.3,0.49,8.9,72,HHHL single slot PCIe card,54
